index_i,index_j,similarity,judul_i,judul_j,year_i,year_j,prodi_i,prodi_j
437,438,1.0,skripsi respon pertumbuhan imunostimulan ikan nila oreochromis niloticus pemberian jahe zingiber officinale rosc pakan ikan nila oreochromis niloticus jenis ikan air tawar digemari masyarakat bernilai ekonomis memiliki keunggulan mudah dibudidayakan diolah makanan bernilai hapsari usaha budidaya ikan nila membutuhkan ketersediaan benih berkelanjutan dicapai usaha pembenihan meliputi pemijahan dilanjutkan pendederan sistem pendederan intensif salah dihadapi mortalitas tingkat kematian ikan mortalitas diakibatkan stress ikan menyebabkan berkurangnya imunitas tubuh ikan kondisi lingkungan kurangnya nutrisi mengakibatkan proses pertumbuhan terganggu kegiatan tugas bertujuan respon pertumbuhan gambaran kesehatan benih ikan nila pakan komersil pemberian jahe dipelihara pemberian ekstrak jahe pakan menghasilkan bobot gekor ukuran bobot ratarata gram mutlak cmekor ratarata cmekor sel darah merah hasil x selmm sel darah putih hasil x selmm haemoglobin gdl sr ditarik kesimpulan pemberian jahe pakan meningkatkan pertumbuhan respon imunostimulan benih ikan nila,skripsi respon pertumbuhan imunostimulan ikan nila oreochromis niloticus pemberian jahe zingiber officinale rosc pakan ikan nila oreochromis niloticus jenis ikan air tawar digemari masyarakat bernilai ekonomis memiliki keunggulan mudah dibudidayakan diolah makanan bernilai hapsari usaha budidaya ikan nila membutuhkan ketersediaan benih berkelanjutan dicapai usaha pembenihan meliputi pemijahan dilanjutkan pendederan sistem pendederan intensif salah dihadapi mortalitas tingkat kematian ikan mortalitas diakibatkan stress ikan menyebabkan berkurangnya imunitas tubuh ikan kondisi lingkungan kurangnya nutrisi mengakibatkan proses pertumbuhan terganggu kegiatan tugas bertujuan respon pertumbuhan gambaran kesehatan benih ikan nila pakan komersil pemberian jahe dipelihara pemberian ekstrak jahe pakan menghasilkan bobot gekor ukuran bobot ratarata gram mutlak cmekor ratarata cmekor sel darah merah hasil x selmm sel darah putih hasil x selmm haemoglobin gdl sr ditarik kesimpulan pemberian jahe pakan meningkatkan pertumbuhan respon imunostimulan benih ikan nila,2023.0,2023.0,teknologi pembenihan ikan,teknologi pembenihan ikan
988,989,1.0,skripsi performa kambing peranakan etawa pemberian pakan lengkap kandang politeknik negeri lampung penelitian bertujuan menganalisis peforma kambing pernakan etawa pemberian pakan lengkap kandang politeknik negeri lampung penelitian dilaksanakan mei juni penelitian analisis proksimat kandungan terdapa pakan lengkap mengukur produktivitas kambing peranakan etawa kandang politeknik negeri lampung hasil penelitian pemberian pakan lengkap meningkatkan pertambahan bobot badan kambing kandang politeknik negeri lampung,skripsi performa kambing peranakan etawa pemberian pakan lengkap kandang politeknik negeri lampung penelitian bertujuan menganalisis peforma kambing pernakan etawa pemberian pakan lengkap kandang politeknik negeri lampung penelitian dilaksanakan mei juni penelitian analisis proksimat kandungan terdapa pakan lengkap mengukur produktivitas kambing peranakan etawa kandang politeknik negeri lampung hasil penelitian pemberian pakan lengkap meningkatkan pertambahan bobot badan kambing kandang politeknik negeri lampung,2024.0,2024.0,teknologi produksi ternak,teknologi produksi ternak
997,998,1.0,skripsi analisis profitabilitas usaha sapi potong sarjono desa astomulyo kecamatan punggur kabupaten lampung usaha peternakan indonesia didominasi peternakan rakyat bersekala peternakan jarang dilaksanakan skala pengelolaannya sampingan diimbangi permodalan pengelolaan memadai usaha ternak sapi berpotensi dikembangkan usaha menguntungkan ternak sapi salah komoditas ternak penghasil daging terbesar kelompok ternak ruminansia produksi daging nasional suryana penelitian dilaksanakan lokasi penelitian peternakan sarjono desa astomulyo kecamatan punggur kabupaten lampung penelitian metode penelitian kuantitatif metode deskriptif analitis penelitian mengumpulkan informasi terkait status gejala gejala berdasarkan penelitian arikunto data primer data sekunder dianalisis perhitungan break event point bep return cost ratio rc return on investment roi return on equity roediketahui keuntungan usaha peternakan sarjono periode periode memperoleh keuntungan rp mengalami peningkatan periode rp hasil analisis bep produk periode rp periode rp bep harga periode rp periode rp nilai rc roi roe meningkatkan target peluang pasar strategi marketing media meningkatkan sapi memperkecil resiko teliti memilih bibit sapi digemukkan meminimalisir penyakit sapi vaksin vitamin,skripsi analisis profitabilitas usaha sapi potong sarjono desa astomulyo kecamatan punggur kabupaten lampung usaha peternakan indonesia didominasi peternakan rakyat bersekala peternakan jarang dilaksanakan skala pengelolaannya sampingan diimbangi permodalan pengelolaan memadai usaha ternak sapi berpotensi dikembangkan usaha menguntungkan ternak sapi salah komoditas ternak penghasil daging terbesar kelompok ternak ruminansia produksi daging nasional suryana penelitian dilaksanakan lokasi penelitian peternakan sarjono desa astomulyo kecamatan punggur kabupaten lampung penelitian metode penelitian kuantitatif metode deskriptif analitis penelitian mengumpulkan informasi terkait status gejala gejala berdasarkan penelitian arikunto data primer data sekunder dianalisis perhitungan break event point bep return cost ratio rc return on investment roi return on equity roediketahui keuntungan usaha peternakan sarjono periode periode memperoleh keuntungan rp mengalami peningkatan periode rp hasil analisis bep produk periode rp periode rp bep harga periode rp periode rp nilai rc roi roe meningkatkan target peluang pasar strategi marketing media meningkatkan sapi memperkecil resiko teliti memilih bibit sapi digemukkan meminimalisir penyakit sapi vaksin vitamin,2024.0,2024.0,teknologi produksi ternak,teknologi produksi ternak
2710,2718,1.0,ta analisis perubahan daerah resapan air rencana tata ruang wilayah kecamatan langkapura kota bandar lampung pertumbuhan penduduk kian meningkat berpengaruh pola ruang perubahan daerah resapan air kawasan permukiman seiring tingginya tingkat pertumbuhan penduduk penataan ruangnya daerah resapan air dialih fungsikan peruntukannya menghambat daerah menjalankan progamprogamnya tujuan tugas peta penggunaan tanah bersadarkan kondisi eksisting mengidentifikasi jenis penggunaan tanah menganalisis perubahan daerah resapan air rencana tata ruang wilayah metode pembuatan peta perubahan daerah resapan air tumpang tindih overlay peta penggunaan tanah berdasarkan citra peta rencana tata ruang wilayah menggunakaan aplikasi sistem informasi geografis arcgis analisis perubahan daerah resapan air berdasar struktur rencana tata ruang wilayah berdasarkan identifikasi penggunaan tanah berdasarkan citra kecamatan langkapura diperoleh hasil penggunaan pertanian perkebunan seluas ha permukiman seluas ha ruang terbuka hijau seluas ha jenis penggunaan tanah berdasarkan rencana tata ruang wilayah kecamatan langkapura hektar daerah resapan air hektar pemukiman hasil analisis perubahan daerah resapan air kecamatan langkapura total pengurangan daerah resapan air seluas hektar pengurangan daerah resapan air terbesar kelurahan langkapura hektar dijadikan kawasan pemukiman,ta analisis perubahan daerah resapan air rencana tata ruang wilayah kecamatan langkapura kota bandar lampung pertumbuhan penduduk kian meningkat berpengaruh pola ruang perubahan daerah resapan air kawasan permukiman seiring tingginya tingkat pertumbuhan penduduk penataan ruangnya daerah resapan air dialih fungsikan peruntukannya menghambat daerah menjalankan progamprogamnya tujuan tugas peta penggunaan tanah bersadarkan kondisi eksisting mengidentifikasi jenis penggunaan tanah menganalisis perubahan daerah resapan air rencana tata ruang wilayah metode pembuatan peta perubahan daerah resapan air tumpang tindih overlay peta penggunaan tanah berdasarkan citra peta rencana tata ruang wilayah menggunakaan aplikasi sistem informasi geografis arcgis analisis perubahan daerah resapan air berdasar struktur rencana tata ruang wilayah berdasarkan identifikasi penggunaan tanah berdasarkan citra kecamatan langkapura diperoleh hasil penggunaan pertanian perkebunan seluas ha permukiman seluas ha ruang terbuka hijau seluas ha jenis penggunaan tanah berdasarkan rencana tata ruang wilayah kecamatan langkapura hektar daerah resapan air hektar pemukiman hasil analisis perubahan daerah resapan air kecamatan langkapura total pengurangan daerah resapan air seluas hektar pengurangan daerah resapan air terbesar kelurahan langkapura hektar dijadikan kawasan pemukiman,2020.0,2020.0,teknologi pangan,teknik sumberdaya lahan dan lingkungan
2889,2890,1.0,ta respon dosis pupuk pertumbuhan hasil kacang tanah arachis hypogaea l varietas domba penelitian bertujuan dosis pupuk pertumbuhan hasil tanaman kacang tanah dosis pupuk phonska urea meningkatkan hasil produksi tanaman kacang tanah kegunaan penelitian bahan informasi pembaca mengembangkan meningkatkan hasil tanaman kacang tanah penggunaan pupuk menambah referensi ilmu pengetahuan dosis pupuk budidaya tanaman kacang tanah desain penelitian rancangan acak kelompok rak taraf perlakuan p pemberian dosis pupuk phonska kgha urea kgha p pemberian dosis pupuk phonska kgha urea kgha p pemberian dosis pupuk phonska kgha urea kgha p pemberian dosis pupuk phonska kgha urea kgha ulangan diperoleh unit percobaan hasil penelitian memperoleh perlakuan berbeda nyata polong isi berat polong basah berat polong kering perbedaan nyata p p,ta respon dosis pupuk pertumbuhan hasil kacang tanah arachis hypogaea l varietas domba penelitian bertujuan dosis pupuk pertumbuhan hasil tanaman kacang tanah dosis pupuk phonska urea meningkatkan hasil produksi tanaman kacang tanah kegunaan penelitian bahan informasi pembaca mengembangkan meningkatkan hasil tanaman kacang tanah penggunaan pupuk menambah referensi ilmu pengetahuan dosis pupuk budidaya tanaman kacang tanah desain penelitian rancangan acak kelompok rak taraf perlakuan p pemberian dosis pupuk phonska kgha urea kgha p pemberian dosis pupuk phonska kgha urea kgha p pemberian dosis pupuk phonska kgha urea kgha p pemberian dosis pupuk phonska kgha urea kgha ulangan diperoleh unit percobaan hasil penelitian memperoleh perlakuan berbeda nyata polong isi berat polong basah berat polong kering perbedaan nyata p p,2023.0,2023.0,produksi tanaman pangan,produksi tanaman pangan
4340,4341,1.0,skripsi pengaruh mikoriza pupuk npk pertumbuhan bibit lada piper nigrum l media subsoil penelitian bertujuan pengaruh mikoriza pupuk majemuk npk interaksi mikoriza pupuk majemuk npk pertumbuhan bibit lada piper nigrum l media subsoil penelitian dilaksanakan februari april kebun percobaan politeknik negeri lampung metode rancangan acak kelompok rak berpola faktorial faktor faktor i mikoriza taraf m pemberian mikoriza m pemberian mikoriza gtanaman m pemberian mikoriza gtanaman faktor ii dosis pupuk npk taraf p aplikasi pupuk npk p aplikasi pupuk npk dosis gtanaman p aplikasi pupuk npk dosis gtanaman p aplikasi pupuk npk dosis gtanaman dosis mikoriza gtanaman gtanaman hasil variabel tanaman daun diameter batang ruas bobot kering brangkasan berpengaruh bobot kering akar dosis pupuk npk berpengaruh tanaman daun ruas diameter batang bobot kering akar bobot kering brangkasan pertumbuhan bibit lada interaksi mikoriza gtanaman pupuk npk dosis gtanaman bobot kering akar nilai dibandingkan perlakuan interaksi mikoriza gtanaman pupuk npk gtanaman bobot kering brangkasan nilai dibandingkan perlakuan,skripsi pengaruh mikoriza pupuk npk pertumbuhan bibit lada piper nigrum l media subsoil penelitian bertujuan pengaruh mikoriza pupuk majemuk npk interaksi mikoriza pupuk majemuk npk pertumbuhan bibit lada piper nigrum l media subsoil penelitian dilaksanakan februari april kebun percobaan politeknik negeri lampung metode rancangan acak kelompok rak berpola faktorial faktor faktor i mikoriza taraf m pemberian mikoriza m pemberian mikoriza gtanaman m pemberian mikoriza gtanaman faktor ii dosis pupuk npk taraf p aplikasi pupuk npk p aplikasi pupuk npk dosis gtanaman p aplikasi pupuk npk dosis gtanaman p aplikasi pupuk npk dosis gtanaman dosis mikoriza gtanaman gtanaman hasil variabel tanaman daun diameter batang ruas bobot kering brangkasan berpengaruh bobot kering akar dosis pupuk npk berpengaruh tanaman daun ruas diameter batang bobot kering akar bobot kering brangkasan pertumbuhan bibit lada interaksi mikoriza gtanaman pupuk npk dosis gtanaman bobot kering akar nilai dibandingkan perlakuan interaksi mikoriza gtanaman pupuk npk gtanaman bobot kering brangkasan nilai dibandingkan perlakuan,2022.0,2022.0,produksi dan manajemen industri perkebunan,produksi dan manajemen industri perkebunan
231,493,1.0,ta persiapan tambak hdpe high density polyethylene pembesaran udang vannamei litopenaeus vannamei udang vannamei litopenaeus vannamei salah jenis udang habitat aslinya pantai laut amerika latin mexico puertorico indonesia dikembangkan budidaya udang vannamei teknologi intensif pengembangan media air payau vanname memiliki toleransi salinitas kebutuhan pasar udang vannamei indonesia meningkat ratarata ton indonesia mengekspor udang vaname ton badan pusatstatistika lokasi budidaya udang tingkat porositas tingkat resiko penyakit faktor lingkungan ideal tambak full plastik hdpe pilihan kelemahan tambak hdpe mengurangi kualitas perairan terbentuknya limbah sisa pakan berlebih mengendap,ta persiapan tambak hdpe high density polyethylene pembesaran udang vannamei litopenaeus vannamei udang vannamei litopenaeus vannamei salah jenis udang habitat aslinya pantai laut amerika latin mexico puertorico indonesia dikembangkan budidaya udang vannamei teknologi intensif pengembangan media air payau vanname memiliki toleransi salinitas kebutuhan pasar udang vannamei indonesia meningkat ratarata ton indonesia mengekspor udang vaname ton badan pusat statistika lokasi budidaya udang tingkat porositas tingkat resiko penyakit faktor lingkungan ideal tambak full plastik hdpe pilihan kelemahan tambak hdpe mengurangi kualitas perairan terbentuknya limbah sisa pakan berlebih mengendap,2024.0,2022.0,budidaya perikanan,budidaya perikanan
432,433,1.0,skripsi analisis pemeliharaan udang vaname litopenaeus vannamei doc tambak semi permanen tambak tanah salah budidaya udang dihadapi petani pemilihan kontruksi budidaya udang disebabkan kurangnya pengetahuan rangka mengoptimalkan pemanfaatan potensi tambak udang vaname litopenaeus vannamei analisis kesesuaian kontruksi aspek teknis konstruksi mendukung aktivitas budidaya berkelanjutan meningkatkan produktivitas tujuan pengamatan kesesuaian kontruksi media budidaya keunggulan masingmasing media data data primer sekunder data primer diperoleh observasi lapangan data sekunder meliputi literaturliteratur penunjang data pendukung udang vaname udang vaname doc aklimatisasi salinitas dipelihara tambak semi permanen tambak tanah pemeliharaan hasil pemeliharaan tambak semi permanen tambak tanah berturutturut mean body weight g g average daily growth ghari ghari survival rate sr feed convertion ratio nilai efesiensi pakan pemeliharaan didapatkan,skripsi analisis pemeliharaan udang vaname litopenaeus vannamei doc tambak semi permanen tambak tanah salah budidaya udang dihadapi petani pemilihan kontruksi budidaya udang disebabkan kurangnya pengetahuan rangka mengoptimalkan pemanfaatan potensi tambak udang vaname litopenaeus vannamei analisis kesesuaian kontruksi aspek teknis konstruksi mendukung aktivitas budidaya berkelanjutan meningkatkan produktivitas tujuan pengamatan kesesuaian kontruksi media budidaya keunggulan masingmasing media data data primer sekunder data primer diperoleh observasi lapangan data sekunder meliputi literaturliteratur penunjang data pendukung udang vaname udang vaname doc aklimatisasi salinitas dipelihara tambak semi permanen tambak tanah pemeliharaan hasil pemeliharaan tambak semi permanen tambak tanah berturutturut mean body weight g g average daily growth ghari ghari survival rate sr feed convertion ratio nilai efesiensi pakan pemeliharaan didapatkan,2023.0,2023.0,teknologi pembenihan ikan,teknologi pembenihan ikan
1020,1748,1.0,skripsi performa ayam ras petelur strain lohmann brown fase starter pt sumber protein unggul desa sumber jaya kecamatan jati agung kabupaten lampung selatan penelitian bertujuan menganalisis performa pemeliharaan ayam ras petelur fase starter pt sumber protein unggul desa sumber jaya kecamatan jati agung kabupaten lampung selatan penelitian dilaksanakan tanggal november desember populasi ekor ayam metode deskriptif kuantitatif hasil penelitian konsumsi pakan mencapai standar feed intake peningkatan bobot badan harian ratarata memenuhi standar keseragaman uniformity dinilai deplesi tercatat kesimpulan penelitian pemberian pakan pertambahan bobot badan harian keseragaman deplesi ayam standar panduan strain lohmann brown perusahaan disebabkan kualitas pakan buruk bobot badan doc standar suhu kandang panas,skripsi performa ayam ras petelur strain lohmann brown fase starter pt sumber protein unggul desa sumber jaya kecamatan jati agung kabupaten lampung selatan penelitian bertujuan menganalisis performa pemeliharaan ayam ras petelur fase starter pt sumber protein unggul desa sumber jaya kecamatan jati agung kabupaten lampung selatan penelitian dilaksanakan tanggal november desember populasi ekor ayam metode deskriptif kuantitatif hasil penelitian konsumsi pakan mencapai standar feed intake peningkatan bobot badan harian ratarata memenuhi standar keseragaman uniformity dinilai deplesi tercatat kesimpulan penelitian pemberian pakan pertambahan bobot badan harian keseragaman deplesi ayam standar panduan strain lohmann brown perusahaan disebabkan kualitas pakan buruk bobot badan doc standar suhu kandang panas,2024.0,2022.0,teknologi produksi ternak,teknologi produksi ternak
1271,3006,1.0,ta sistem pengendalian intern prosedur penjualan kredit pt graha madu berjaya tujuan penulisan tugas mengevaluasi penerapan sistem pengendalian intern prosedur penjualan kredit pt graha madu berjaya diterapkan evaluasi pendaftaran service pengecekan kendaraan selesai service pemisahan fungsi dokumen diotorisasikan berwenang metode pengumpulan data penulis wawancara dokumentasi analisis data metode kualitatif rangkap jabatan fungsi kredit fungsi penjualan fungsi penagihan menunjukan sistem pengendalian intern prosedur penjualan kredit pt graha madu berjaya sesuai unsurunsur sistem pengendalian intern prosedur penjualan kredit mulyadi,ta sistem pengendalian intern prosedur penjualan kredit pt graha madu berjaya tujuan penulisan tugas mengevaluasi penerapan sistem pengendalian intern prosedur penjualan kredit pt graha madu berjaya diterapkan evaluasi pendaftaran service pengecekan kendaraan selesai service pemisahan fungsi dokumen diotorisasikan berwenang metode pengumpulan data penulis wawancara dokumentasi analisis data metode kualitatif rangkap jabatan fungsi kredit fungsi penjualan fungsi penagihan menunjukan sistem pengendalian intern prosedur penjualan kredit pt graha madu berjaya sesuai unsurunsur sistem pengendalian intern prosedur penjualan kredit mulyadi,2021.0,2021.0,akuntansi,agribisnis pangan
