similarity,judul_i,judul_j,year_i,year_j,prodi_i,prodi_j
0.9964,ta pembuatan pupuk organik cair uji coba pengaruhnya pertumbuhan jagung manis zea mays saccharata l ps antanan cimande bogor pupuk organik cair larutan pembusukan bahanbahan organik berasal sisa tanaman kotoran hewan manusia penggunaan pupuk organik cair diharapkan membantu menyuburkan tanaman meningkatkan unsur hara tanah kesuburan tanah terjaga ramah lingkungan pupuk kandang kambing kaya kandungan nitrogen organik menyuburkan tanah kotoran kambing peranan memperbaiki sifat biologis fisik kimia tanah pertanian alami jagung manis sayuran bayak digemari bayak orang manis berbeda jenis jagung jagung manis mengandung karbohidrat setara nasi diolah jenis makanan puding jagung bakar kue hasil perlakuan pupuk organik cair tanaman jagung manis minggu diperoleh tanaman cm daun helai,ta pembuatan pupuk organik cair aplikasinya tanaman jagung manis zea mays saccharata l ps antanan cimande bogor jawa barat pupuk organik cair larutan pembusukan bahanbahan organik berasal sisa tanaman kotoran hewan manusia penggunaan pupuk organik cair diharapkan membantu menyuburkan tanaman meningkatkan unsur hara tanah kesuburan tanah terjaga ramah lingkungan pupuk kandang kambing kaya kandungan nitrogen organik menyuburkan tanah kotoran kambing peranan memperbaiki sifat biologis fisik kimia tanah pertanian alami jagung manis sayuran bayak digemari bayak orang manis berbeda jenis jagung jagung manis mengandung karbohidrat setara nasi diolah jenis makanan puding jagung bakar kue,2018.0,2018.0,produksi tanaman pangan,produksi tanaman pangan
0.9945,ta analisis perubahan penggunaan lahan kecamatan kotabumi selatan sistem informasi geografis tugas bertujuan menganalisis penggunaan lahan kecamatan kotabumi selatan kabupaten lampung utara analisis data geographic information system gis program arcgis tahapan pelaksanaan digitasi citra download software sasplanet pengelompokan lahan menghitung luasan penggunaan menghitung selisih penggunaan lahan ground check layout peta hasil analisis penggunaan lahan jenis penggunaan lahan perkebunan seluas ha pemukiman seluas ha sungai seluas ha tegalan ladang seluas jenis penggunaan lahan perkebunan seluas ha pemukiman seluas ha sungai seluas ha tegalan ladang seluas penambahan jenis penggunaan lahan industri seluas ha sawah seluas ha peta perubahan penggunaan lahan kecamatan kotabumi selatan jenis penggunaan lahan berubah pemukiman perkebunan tegalan ladang industri seluas ha perkebunan tegalan ladang pemukiman seluas ha tegalan ladang berubah perkebunan seluas ha perkebunan tegalan ladang berubah sawah seluas ha pemukiman perkebunan tegalan ladang seluas ha,ta analisis perubahan penggunaan lahan berbasis sistem informasi geografis kecamatan blambangan pagar tugas bertujuan menganalisis penggunaan lahan kecamatan blambangan pagar kabupaten lampung utara analisis data geographic information system gis program arcgis tahapan pelaksanaan digitasi citra download software sasplanet pengelompokan lahan menghitung luasan penggunaan menghitung selisih penggunaan lahan ground check layout peta hasil analisis penggunaan lahan jenis penggunaan lahan perkebunan seluas ha pemukiman seluas ha semak belukar seluas ha pertanian lahan kering seluas ha pertanian lahan kering bercampur semak seluas jenis penggunaan lahan perkebunan seluas ha pemukiman seluas ha pertanian lahan kering bercampur semak seluas ha tanah terbuka seluas ha,2022.0,2023.0,teknik sumberdaya lahan dan lingkungan,teknik sumberdaya lahan dan lingkungan
0.9943,aplikasi rapor siswa berbasis web framework codeigniter sdit permata bunda i bandar lampung sekolah salah sarana organisasi berperan pelayanan masyarakat bidang pendidikan sistem pengisian rapor siswa sdit permata bunda wali kelas menginputkan rekapan nilai siswa guru mata pelajaran proses pengisian rapor siswa fasilitas mail merge dokumen utama microsoft excel dokumen datanya membutuhkan wali kelas menginputkan data nilai mata pelajaran microsoft excel penulis merancang aplikasi mengatasi permasalahan aplikasi rapor siswa berbasis web framework codeigniter dirancang metode rapid application development rad pengujian black box testing kontribusi sdit permata bunda media penyimpanan data mempermudah wali kelas pengisian rapor siswa informasi rapor siswa wali murid cepat kunci rapor rad microsoft excel framework codeigniter,ta aplikasi rapor siswa berbasis web framework codeigniter sdit permata bunda bandar lampung sekolah salah sarana organisasi berperan pelayanan masyarakat bidang pendidikan sistem pengisian rapor siswa sdit permata bunda wali kelas menginputkan rekapan nilai siswa guru mata pelajaran proses pengisian rapor siswa fasilitas mail merge dokumen utama microsoft excel dokumen datanya membutuhkan wali kelas menginputkan data nilai mata pelajaran microsoft excel penulis merancang aplikasi mengatasi permasalahan aplikasi rapor siswa berbasis web framework codeigniter dirancang metode rapid application development rad pengujian black box testing kontribusi sdit permata bunda media penyimpanan data mempermudah wali kelas pengisian rapor siswa informasi rapor siswa wali murid cepat,,2018.0,,manajemen informatika
0.9927,ta perbandingan tren penjualan penerapan harga jual include ppn pt yoenika darma persada tujuan penulisan tugas membandingkan realisasi volume penjualan proyeksi volume penjualan berdasarkan perhitungan tren periode harga jual include ppn metode penulisan tugas analisis deskriptif kuantitatif analisis tren metode kuadrat terkecil data data penjualan rumah enam januari juni berdasarkan hasil perbandingan volume penjualan harga jual include ppn berdasarkan data realisasi proyeksi volume penjualan perusahaan harga jual include ppn cenderung meningkat dibandingkan harga jual include ppn,perbandingan tren penjualan penerapan harga jual incude ppn pt yoenika darma persada tujuan penulisan tugas membandingkan realisasi volume penjualan proyeksi volume penjualan berdasarkan perhitungan tren periode harga jual include ppn metode penulisan tugas analisis deskriptif kuantitatif analisis tren metode kuadrat terkecil data data penjualan rumah enam januari juni berdasarkan hasil perbandingan volume penjualan harga jual include ppn berdasarkan data realisasi proyeksi volume penjualan perusahaan harga jual include ppn cenderung meningkat dibandingkan harga jual include ppn,2018.0,,akuntansi,
0.9924,ta evaluasi kinerja keuangan cv mas analisis rasio keuangan tugas bertujuan mengevaluasi kinerja keuangan perusahaan cv mas ditinjau rasio likuiditas rasio leverage rasio aktivitas profitabilitas data sekunder metode penelitian kuantitatif data angka alat menganalisis keterangan hasil analisis rasio cv mas berdasarkan rasio likuiditas current ratio quick ratio dibawah standar cash ratio diatas standar hasil perhitungan rasio leverage rasio dibawah standar hasil perhitungan rasio aktivitas accounts receiveble turnover total assets turnover dibawah standar inventory turnoversudah diatas standar dipakai hasil perhitungan rasio profitabilitas rasio nya dibawah standar dipakai bertujuan keputusan diambil mencapai tujuan diharapkan,evaluasi kinerja keuangan cv mas analisis rasio keuangan tugas bertujuan mengevaluasi kinerja keuangan perusahaan cv mas ditinjau rasio likuiditas rasio leverage rasio aktivitas profitabilitas data sekunder metode penelitian kuantitatif data angka alat menganalisis keterangan hasil analisis rasio cv mas berdasarkan rasio likuiditas current ratio quick ratio dibawah standar cash ratio diatas standar hasil perhitungan rasio leverage rasio dibawah standar hasil perhitungan rasio aktivitas accounts receiveble turnover total assets turnover dibawah standar inventory turnoversudah diatas standar dipakai hasil perhitungan rasio profitabilitas rasio nya dibawah standar dipakai bertujuan keputusan diambil mencapai tujuan diharapkan kunci evaluasi kinerja keuangan analisis rasio keuangan,2018.0,,akuntansi,
0.9917,ta manajemen pemberian pakan pembesaran udang vaname litopenaeus vannamei tambak intensif udang vaname salah jenis udang unggulan budidaya memiliki nilai ekonomis udang vaname diminati petambak memiliki keunggulan pertumbuhan relatif cepat dibandingkan jenis udang ditebar kepadatan ekorm² pakan faktor budidaya udang vaname menyerap total biaya operasional pakan buatan input utama sumber energi pertumbuhan udang optimal pemberian pakan sesuai kebutuhan memacu pertumbuhan perkembangan udang vaname optimal produktivitasnya ditingkatkan tujuan penulisan laporan tugas metode pemberian pakan pertumbuhan manajemen pemberian pakan pembesaran udang vaname hasil kegiatan pembesaran udang vaname intensif pemberian pakan manual program pemberian pakan metode indek frekuensi pemberian pakan kali sehari hasil ratarata abw g doc berat harian ratarata adg ghari nilai fcr,ta manajemen pemberian pakan budidaya udang vannamei litopenaeus vanname boone udang vannamei udang diminati petambak memiliki keunggulan pertumbuhan relatif cepat dibandingkan jenis udang ditebar kepadatan ekorm² pakan faktor budidaya udang vannamei menyerap total biaya operasional pemberian pakan sesuai kebutuhan memacu pertumbuhan perkembangan udang vannamei optimal produktivitasnya ditingkatkan tujuan penulisan tugas memahami manajemen pemberian pakan budidaya udang vannamei efektifitas pakan pertumbuhan udang vannamei pemberian pakan manual program pemberian pakan metode fr frekuensi pemberian pakan kali sehari doc kali sehari doc kali sehari doc berdasarkan hasil diperoleh petak c c c perlakuan diperoleh mbw doc petak c gr petak c gr petak c gr adg ratarata panen parsial doc petak c grhari c grhari c grhari fcr diperoleh petak c panen doc didapatkan hasil fcr petak c panen doc didapatkan hasil fcr petak c panen doc didapatkan hasil fcr,2021.0,2023.0,budidaya perikanan,budidaya perikanan
0.9906,skripsi efikasi minyak pala pertumbuhan penyakit busuk buah kaka kakao theobroma cacao l salah tanaman perkebunan tumbuh indonesia berperan meningkatkan pertumbuhan perekonomian indonesia rendahnya produktivitas kakao dipengaruhi organisme pengganggu tanaman opt salah opt menyebabkan penurunan produktivitas kakao penyakit busuk buah kakao penyakit disebabkan patogen p palmivora tingkat kerugian disebabkan patogen p palmivora pengendalian efisien ramah lingkungan pengendalian penyakit pestisida nabati minyak pala mencemari lingkungan relatif aman manusia dibandingkan pestisida berbahan kimia minyak pala senyawa eugenol sitronela bersifat antijamur penelitian bertujuan konsentrasi minyak atsiri efektif menghambat serangan jamur patogen p palmivora penyakit busuk buah kakao penelitian dilaksanakan laboratorium tanaman ii politeknik negeri lampung januari april penelitian rancangan acak kelompok rak perlakuan ulangan diperoleh satuan percobaan perlakuan konsentrasi konsentrasi konsentrasi konsentrasi konsentrasi analisis data penelitian uji bnt taraf hasil penelitian perlakuan konsentrasi menghambat pertumbuhan jamur p palmivora persentase daya hambat kunci minyak,skripsi efikasi minyak pala pertumbuhan penyakit busuk buah kakao phytophthora palmivora kakao theobroma cacao l salah tanaman perkebunan tumbuh indonesia berperan meningkatkan pertumbuhan perekonomian indonesia rendahnya produktivitas kakao dipengaruhi organisme pengganggu tanaman opt salah opt menyebabkan penurunan produktivitas kakao penyakit busuk buah kakao penyakit disebabkan patogen p palmivora tingkat kerugian disebabkan patogen p palmivora pengendalian efisien ramah lingkungan pengendalian penyakit pestisida nabati minyak pala mencemari lingkungan relatif aman manusia dibandingkan pestisida berbahan kimia minyak pala senyawa eugenol sitronela bersifat antijamur penelitian bertujuan konsentrasi minyak atsiri efektif menghambat serangan jamur patogen p palmivora penyakit busuk buah kakao penelitian dilaksanakan laboratorium tanaman ii politeknik negeri lampung januari april penelitian rancangan acak kelompok rak perlakuan ulangan diperoleh satuan percobaan perlakuan konsentrasi konsentrasi konsentrasi konsentrasi konsentrasi analisis data penelitian uji bnt taraf hasil penelitian perlakuan konsentrasi menghambat pertumbuhan jamur p palmivora persentase daya hambat,2022.0,2022.0,produksi dan manajemen industri perkebunan,produksi dan manajemen industri perkebunan
0.9898,ta pembesaran udang vannamei litopenaeus vannamei tambak intensif budidaya salah alternatif produksi perikanan udang vannamei litopenaeus vannamei salah jenis udang dibudidayakan produksi udang nasional ditargetkan ton meningkat persen produksi udang data memenuhi target produksi tahuntahun perluasan lahan budidaya perluasan lahan budidaya sulit beresiko merusak kelestarian alam pembesaran udang vannamei lahan bibir pantai salah upaya memenuhi target produksi udang nasional budidaya udang salinitas rendah menjauh hutan mangrove inland shrimp culture salah upaya budidaya udang ramah lingkungan berkelanjutan,ta pembesaran udang vannamei litopenaeus vannamei tambak bersalinitas rendah udang vannamei litopenaeus vannamei salah jenis udang dibudidayakan produksi udang nasional ditargetkan ton meningkat persen produksi udang data memenuhi target produksi tahuntahun perluasan lahan budidaya perluasan lahan budidaya sulit beresiko merusak kelestarian alam pembesaran udang vannamei lahan bibir pantai salah upaya memenuhi target produksi udang nasional budidaya udang salinitas rendah menjauh hutan mangrove inland shrimp culture salah upaya budidaya udang ramah lingkungan berkelanjutan penggunaan salinitas rendah menekan berkembangnya pathogen meminimalisir serangan penyakit sifat udang vannamei hyperhypo osmoregulasi hidup direntang salinitas luas alasan dasar budidaya tambak bersalinitas rendah,2023.0,2020.0,budidaya perikanan,budidaya perikanan
0.9898,ta evaluasi perhitungan pajak berkaitan penjualan rumah pt yoenika darma persada tujuan tugas mengevaluasi kesesuaian perhitungan pajak berkaitan penjualan rumah pt yoenika darma persada pbb bphtb ppn pph pasal ayat undangundang berlaku indonesia penulis sampel rumah cluster alamanda type e rumah terjual promosi gratis bphtb metode analisis data penulis metode kuantitatif dimana penulis menunjukan hasil perhitungan pajak pt yoenika darma persada mengevaluasi perhitungan hasil evaluasi perhitungan pajak berkaitan penjualan rumah cluster alamanda type e perhitungan pt yoenika darma persada sesuai peraturan undangundang berlaku indonesia,judul evaluasi perhitungan pajak berkaitan denganpenjualan rumah pt yoenika darma persada tujuan tugas mengevaluasi kesesuaian perhitungan pajak berkaitan penjualan rumah pt yoenika darma persada pbb bphtb ppn pph pasal ayat undangundang berlaku indonesia penulis sampel rumah cluster alamanda type e rumah terjual promosi gratis bphtb metode analisis data penulis metode kuantitatif dimana penulis menunjukan hasil perhitungan pajak pt yoenika darma persada mengevaluasi perhitungan hasil evaluasi perhitungan pajak berkaitan penjualan rumah cluster alamanda type e perhitungan pt yoenika darma persada sesuai peraturan undangundang berlaku indonesia,2018.0,,akuntansi,
0.9886,ta pengendalian hama penyakit pembesaran udang vannamei litopenaeus vannamei udang komoditas sektor perikanan budididaya berperan penyumbang devisa nonmigas negara salah udang komoditas utama budidaya udang putih udang vannamei perkembangan budidaya udang vannamei meningkat luas kawasan tambak pembesaran penerapan teknologi budidaya rangka meningkatkan produktivitas seiring kemajuan teknologi budidaya perikanan sisi meningkatkan produksi sektor perikanan disisi padat tebar pemberian pakan menyebabkan pergeseran keseimbangan lingkungan udang pelihara patogen penyebab penyakit munculnya penyakit menyerang udang vannamei berdampak menurunnya hasil panen berakibat penghentian usaha produksi serangan penyakit utama diabaikan sukses tidaknya budidaya pemilihan benih pakai tahan bebas hama penyakit pengelolaan lingkungan media perkembangan penyakit kerugian disebabkan serangan kematian berakibat penghentian usaha produksi gangguan tinjau segi ekonomi merugikan usaha budidaya ikan membutuhkan investasi mengantisipasi manajemen ditingkatkan budidaya mengantisipasi penyebab resiko kegagalan produksi tindakan pengendalian hama penyakit persiapan tambak optimal penggunaan benur berkualitas pengelolaan dasar tambak penggunaan probiotik penerapan biosecurity sistem budidaya tujuan tugas pengendalian hama penyakit pembesaran udang vannamei litopenaeus vannamei diharapkan menambah wawasan terkait penanganan hama pencegahan penyakit udang hasil penerapan pengendalian penyakit produktivitasnya mencapai tonha kelangsungan hidup,ta pengendalian penyakit pembesaran udang vannamei litopenaeus vannamei udang komoditas sektor perikanan berperan penyumbang devisa nonmigas negara salah udang komoditas utama budidaya udang putih udang vannamei perkembangan budidaya udang vannamei hinggga meningkat luas kawasan tambak pembesaran penerapan teknologi budidaya rangka meningkatkan produktivitas seiring kemajuan teknologi budidaya perikanan sisi meningkakan produksi sektor perikanan disisi padat tebar pemberian pakan menyebabkan pergeseran keseimbangan lingkungan udang pelihara patogen penyebab penyakit munculnya penyakit menyerang udang vannamei berdampak menurunya hasil panen berakibat penghentian usaha produksi serangan penyakit utama diabaikan sukses tidaknya budidaya pemilihan benih pakai tahan bebas penyakit pengelolaan lingkungan media perkembangan penyakit kerugian disebabkan serangan kematian berakibat penghentian usaha produksi gangguan ditinjau segi ekonomi merugikan usaha budidaya ikan membutuhkan investasi mengantisipasi manajemen ditingkatkan budidaya mengantisipasi penyebab resiko kegagalan produksi tindakan pengendalian penyakit persiapan tambak optimal pengunaan benur berkualitas pengelolaan dasar tambak penggunaan probiotik penerapan biosecurity sistem budidaya tujuan tugas pengendalian penyakit pembesaran udang vannamei litopenaeus vannamei diharapkan menambah wawasan terkait penanganan pecegahan penyakit udang hasil penerapan pengendalian penyakit produktivitasnya mencapai tonha kelangsungan hidup,2020.0,2018.0,budidaya perikanan,budidaya perikanan
